Time(ms),ADC Value,Duty Cycle,Temperature(C),Humidity(%),System Mode,LED Mode
0,451,1102,29,62,LIGHT,WHITE
1000,448,1094,29,62,LIGHT,WHITE
2000,448,1094,29,62,LIGHT,WHITE
3000,450,1099,29,62,LIGHT,WHITE
4000,460,1124,29,62,LIGHT,WHITE
5000,454,1109,29,62,LIGHT,WHITE
6000,454,1109,29,62,LIGHT,RED
7000,453,1107,29,62,LIGHT,RED
8000,456,1114,29,62,LIGHT,GREEN
9000,454,1109,29,62,LIGHT,BLUE
10000,453,1107,29,62,LIGHT,WHITE
11000,454,1109,29,62,LIGHT,WHITE
12000,458,1119,29,62,TEMP,-
13000,455,1111,29,62,TEMP,-
14000,455,1111,29,62,TEMP,-
15000,453,1107,29,62,TEMP,-
16000,454,1109,29,62,TEMP,-
17000,451,1102,29,62,TEMP,-
18000,450,1099,29,62,TEMP,-
19000,449,1097,29,62,TEMP,-
20000,453,1107,29,62,TEMP,-
21000,446,1090,29,62,TEMP,-
22000,453,1107,29,62,TEMP,-
23000,450,1099,29,62,TEMP,-
24000,453,1107,29,62,TEMP,-
25000,452,1104,29,62,TEMP,-
26000,450,1099,29,62,TEMP,-
27000,451,1102,29,62,TEMP,-
28000,451,1102,29,62,TEMP,-
29000,450,1099,29,62,TEMP,-
30000,451,1102,29,62,TEMP,-
31000,453,1107,29,62,TEMP,-
32000,453,1107,29,62,TEMP,-
33000,452,1104,29,62,TEMP,-
34000,453,1107,29,62,TEMP,-
35000,452,1104,29,62,TEMP,-
36000,450,1099,29,62,TEMP,-
37000,454,1109,29,62,TEMP,-
38000,452,1104,29,62,TEMP,-
39000,449,1097,29,62,TEMP,-
40000,453,1107,29,62,TEMP,-
41000,451,1102,29,62,TEMP,-
42000,451,1102,29,62,TEMP,-
43000,452,1104,29,62,TEMP,-
44000,453,1107,29,62,TEMP,-
45000,451,1102,29,62,TEMP,-
46000,451,1102,29,62,TEMP,-
47000,450,1099,29,62,TEMP,-
48000,451,1102,29,62,TEMP,-
49000,453,1107,29,62,TEMP,-
50000,449,1097,29,62,TEMP,-
51000,451,1102,29,62,TEMP,-
52000,462,1129,29,62,TEMP,-
53000,453,1107,29,62,TEMP,-
54000,452,1104,29,62,TEMP,-
55000,453,1107,29,62,TEMP,-
56000,450,1099,29,62,TEMP,-
57000,453,1107,29,62,TEMP,-
58000,453,1107,29,62,TEMP,-
59000,450,1099,29,62,TEMP,-
60000,451,1102,29,62,TEMP,-
61000,451,1102,29,62,TEMP,-
62000,452,1104,29,62,TEMP,-
63000,452,1104,29,62,TEMP,-
64000,452,1104,29,62,TEMP,-
65000,452,1104,29,62,TEMP,-
66000,451,1102,29,62,TEMP,-
67000,449,1097,29,62,TEMP,-
68000,452,1104,29,62,TEMP,-
69000,450,1099,29,62,TEMP,-
70000,451,1102,29,62,TEMP,-
71000,449,1097,29,62,TEMP,-
72000,453,1107,29,62,TEMP,-
73000,454,1109,29,62,TEMP,-
74000,451,1102,29,62,TEMP,-
75000,454,1109,29,62,TEMP,-
76000,450,1099,29,62,TEMP,-
77000,451,1102,29,62,TEMP,-
78000,451,1102,29,62,TEMP,-
79000,451,1102,29,62,TEMP,-
80000,449,1097,29,62,TEMP,-
81000,449,1097,29,62,TEMP,-
82000,449,1097,29,62,TEMP,-
83000,446,1090,29,62,LIGHT,RED
84000,449,1097,29,62,LIGHT,RED
85000,446,1090,29,62,LIGHT,RED
86000,446,1090,29,62,LIGHT,RED
87000,444,1085,29,62,LIGHT,GREEN
88000,447,1092,29,62,LIGHT,GREEN
89000,448,1094,29,62,LIGHT,GREEN
90000,447,1092,29,62,LIGHT,BLUE
91000,450,1099,29,62,LIGHT,BLUE
92000,448,1094,29,62,LIGHT,WHITE
93000,444,1085,29,62,LIGHT,WHITE
94000,449,1097,29,62,LIGHT,WHITE
95000,445,1087,29,62,LIGHT,WHITE
96000,448,1094,29,62,LIGHT,WHITE
97000,450,1099,29,62,LIGHT,WHITE
98000,448,1094,29,62,LIGHT,WHITE
99000,446,1090,29,62,LIGHT,WHITE
100000,446,1090,29,62,LIGHT,WHITE
1,,,,,,
